count,pages_per_second,percentage_complete,memory in use
10000,33.91012594525528,0.06632120044330175,24.6
20000,32.153966577356236,0.12962588049441867,24.7
30000,35.02365530589301,0.1899520635196388,24.7
40000,36.9375991420347,0.25303705300998036,24.9
50000,38.81229784737169,0.32008069741275497,24.6
60000,41.46131222167114,0.38330510591281935,24.8
70000,42.90189650431821,0.4452493944145196,24.6
80000,45.083337507290715,0.49067041785482646,24.7
90000,47.59274623337884,0.5348958176662981,24.7
100000,49.64179618056084,0.5787409838148895,24.8
110000,50.50990037534571,0.6361055690881185,24.9
120000,50.141886661716505,0.703204136131087,24.6
130000,49.680848249701945,0.7726728263393435,24.7
140000,49.9981150528848,0.8437215986577922,24.7
150000,50.35629292972178,0.9152688995564616,24.7
160000,50.81228416005825,0.9894862857322473,24.6
170000,51.04151920552413,1.066272361541714,24.8
180000,51.678615032596575,1.1356354312880592,24.7
190000,52.07725846929231,1.2379605347876623,24.8
200000,52.33338922204489,1.3109062506020366,24.9
10000,47.680524046326084,1.3857320106384308,24.6
20000,55.29065822318319,1.4571483421643305,24.6
30000,59.224222336573405,1.5321473197582594,24.8
40000,62.27241254088389,1.607070250619612,25.0
50000,64.25912025477984,1.6862264495943666,24.9
60000,64.6647574428387,1.7551459134006848,25.0
70000,65.60762555823536,1.8233851814322946,24.9
80000,66.41570578041097,1.9026639001428665,25.1
90000,67.21535108801463,1.9800879235422773,25.1
100000,67.87121762421164,2.0548883346678126,25.0
110000,68.86896736197316,2.126934164146703,25.0
120000,69.98811788206055,2.200847363392185,25.1
130000,71.05165562685187,2.2725974555777237,25.0
140000,72.15023130273585,2.3520071436610652,24.8
150000,72.95395821268745,2.4327898977492532,25.0
160000,73.73188040572032,2.5097703152086366,24.8
170000,74.18434096249896,2.5876294949111216,24.9
180000,74.39346683699601,2.6605625362700667,25.3
190000,74.75405599742605,2.741488934186454,25.0
200000,75.11838505738636,2.8251656889310093,25.0
10000,33.97204711385409,0.06632120044330175,24.7
20000,32.2971862658944,0.12962588049441867,24.6
30000,35.28877446120782,0.1899520635196388,24.6
40000,37.240655759145774,0.25303705300998036,24.7
50000,39.1119600262621,0.32008069741275497,24.6
60000,41.77088081347669,0.38330510591281935,24.6
70000,43.213841073670295,0.4452493944145196,24.7
80000,45.39366215844802,0.49067041785482646,24.7
90000,47.92137420593836,0.5348958176662981,24.6
100000,49.99279559364466,0.5787409838148895,24.5
110000,50.86400375476716,0.6361055690881185,24.7
120000,50.48960893218187,0.703204136131087,24.7
130000,50.02525429835073,0.7726728263393435,24.7
140000,50.321329678923696,0.8437215986577922,24.7
150000,50.67549856037437,0.9152688995564616,24.6
160000,51.11501145434781,0.9894862857322473,24.6
170000,51.34927135546263,1.066272361541714,24.7
180000,51.97481448346646,1.1356354312880592,24.8
190000,52.34885910080035,1.2379605347876623,24.7
200000,52.58215657279004,1.3109062506020366,24.6
210000,52.77574138132764,1.3857320106384308,26.9
220000,53.014000411206645,1.4571483421643305,26.8
230000,53.32731304224712,1.5321473197582594,26.8
240000,53.735481789668434,1.607070250619612,27.1
